track,tradition,v,tau,chi,zeta,C(4),Score,v_zone,tau_zone,state,effect
Kristine,georgian,-0.1304,0.1237,0.3704,0.95,-0.108,8,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Tsintsqaro,georgian,-0.1236,0.1227,0.9565,0.99,0.028,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Kaltabukhi,georgian,-0.0579,0.1260,0.4425,2.18,-0.053,28,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Shavlego,georgian,-0.0508,0.1217,0.3571,2.39,0.226,7,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
gurian,georgian,-0.1464,0.1246,0.9184,0.85,-0.017,30,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Dilis_Saari,georgian,-0.0614,0.1229,0.7752,2.00,0.015,40,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Megruli_Simghera,georgian,-0.1397,0.1219,0.8621,0.87,0.160,34,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Lale,georgian,-0.1222,0.1270,0.8247,1.04,0.073,37,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Chela,georgian,-0.0122,0.1260,0.3333,10.29,-0.069,10,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Naduri,georgian,-0.0990,0.1212,0.4545,1.22,-0.102,14,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Shemodzakhili,georgian,-0.0483,0.1237,1.0236,2.56,0.054,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Khevsuruli,georgian,-0.0430,0.1182,0.4878,2.75,-0.067,31,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Kakhuri_Mravalzhamier,georgian,0.0341,0.1181,0.3315,3.46,0.067,10,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Tbilisi_Trialeti,georgian,-0.1774,0.1229,0.9000,0.69,0.040,32,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Tsangala,georgian,-0.0456,0.1262,0.2632,2.76,-0.057,10,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Orovela,georgian,-0.0364,0.1257,0.5042,3.45,0.109,32,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Shemdgari,georgian,-0.1148,0.1249,0.6542,1.09,-0.137,42,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Tkvia,georgian,-0.2308,0.1234,0.7059,0.53,-0.213,45,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Adila,georgian,0.0396,0.1304,0.5769,3.29,0.008,37,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Эпичность, grandeur"
Suliko,georgian,-0.1235,0.1241,0.6364,1.00,0.086,41,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Mravalzhamier,georgian,-0.1747,0.1134,0.8642,0.65,0.018,34,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Simghera_Tbilisze,georgian,-0.1014,0.1224,0.3333,1.21,0.019,10,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
Khasanbegura,georgian,-0.0402,0.1198,0.7895,2.98,0.100,39,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Tushuri_Simghera,georgian,-0.1144,0.1226,0.5833,1.07,0.074,37,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
Shen_Bicho,georgian,-0.0757,0.1249,0.6034,1.65,0.207,39,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
Khorumi,georgian,-0.0116,0.1187,0.4142,10.21,-0.128,26,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Спокойствие, медитация"
hook_3,pophits,-0.1429,0.3509,0.0000,2.46,0.405,22,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
groove_house,pophits,0.4839,0.1663,0.4348,0.34,0.874,37,"v∈[+0.2,+0.5]","τ∈[0.08,0.18]",PEAK,—
hook_2,pophits,-0.1429,0.3509,2.0000,2.46,-0.179,32,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_4,pophits,-0.3785,0.0903,0.2373,0.24,0.561,16,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
groove_dembow,pophits,0.3191,0.1666,0.7333,0.52,-0.431,40,"v∈[+0.2,+0.5]","τ∈[0.08,0.18]",PEAK,"Энергия, драйв"
superhit_2,pophits,-0.4098,0.0884,0.2135,0.22,0.552,16,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
hook_1,pophits,-0.1429,0.3509,1.5000,2.46,-0.179,32,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_9,pophits,-0.3889,0.0896,0.2768,0.23,0.565,16,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_3,pophits,-0.3764,0.0904,0.1356,0.24,0.560,16,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_1,pophits,-0.3848,0.0899,0.2721,0.23,0.531,15,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
hook_4,pophits,0.1429,0.3509,0.7500,2.46,0.155,38,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
groove_funk,pophits,0.1795,0.1848,1.0909,1.03,0.149,20,"v∈[+0.1,+0.3]","τ∈[0.12,0.20]",BUILD,"Энергия, драйв"
groove_trap,pophits,0.3191,0.1666,0.3667,0.52,0.200,20,"v∈[+0.2,+0.5]","τ∈[0.08,0.18]",PEAK,—
superhit_7,pophits,-0.4202,0.0877,0.4000,0.21,0.506,15,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_0,pophits,-0.4035,0.0888,0.2128,0.22,0.499,15,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_6,pophits,-0.4119,0.0882,0.3226,0.21,0.546,15,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
hook_0,pophits,0.7143,0.2108,0.6000,0.30,-0.095,15,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_5,pophits,-0.4181,0.0878,0.5072,0.21,0.533,22,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
groove_hiphop,pophits,0.5897,0.1385,0.4138,0.23,-0.220,12,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
superhit_8,pophits,-0.4348,0.0867,0.2985,0.20,0.483,15,"v∈[+0.0,+0.0]","τ∈[0.00,0.00]",UNKNOWN,—
mozart_free,mozart,-0.0236,0.1430,0.6780,6.05,0.055,44,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,—
bach_free,bach,0.0866,0.1423,0.7576,1.64,0.175,41,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Эпичность, grandeur"
orff_free,orff,-0.1181,0.1416,1.2963,1.20,0.027,35,"v∈[-0.3,+0.1]","τ∈[0.05,0.15]",CALM,"Грусть, меланхолия"
